Team,Record,Avg_Age,Total_Cap_Allocated,Active_Cap,Active_Top3_Cap,Dead_Cap,Minutes_Continuity,Wins,Losses,Win_Percentage,Top3_Salary_Share,Dead_Money_Share,Luxury_Tax_Status
OKC,68-14,24.2,166001694,162209242,82859950,3792452,79,68,14,0.8292682926829268,0.5893813839018978,0.02697564514752326,Non-Tax Payer
CLE,64-18,26.0,178212347,169371096,93832409,491175,92,64,18,0.7804878048780488,0.6674282940222495,0.0034937192363501865,Tax Payer
BOS,61-21,27.5,197048229,193098445,114054140,0,97,61,21,0.7439024390243902,0.8112651150880588,0.0,Tax Payer
HOU,52-30,25.7,173496349,161552948,78702108,7768363,92,52,30,0.6341463414634146,0.5598067260363616,0.055256230972771506,Tax Payer
NYK,51-31,26.5,188877651,188001268,110803733,876383,57,51,31,0.6219512195121951,0.788145026602555,0.0062336970438444245,Tax Payer
LAL,50-32,27.7,200785985,182745885,108760785,5514986,71,50,32,0.6097560975609756,0.7736135729934276,0.03922799954476911,Tax Payer
DEN,50-32,26.0,192786656,182574315,123292088,0,86,50,32,0.6097560975609756,0.8769744786183743,0.0,Tax Payer
LAC,50-32,27.7,174670238,166986734,102101025,3733720,67,50,32,0.6097560975609756,0.726242815887558,0.026557885452527952,Tax Payer
IND,50-32,25.7,171232577,166839774,104281300,2530538,92,50,32,0.6097560975609756,0.741751074060375,0.01799967280279967,Tax Payer
MIN,49-33,26.1,236725861,198847571,119077906,3705899,73,49,33,0.5975609756097561,0.8469990753122599,0.02635999516317182,Tax Payer
GSW,48-34,27.2,199518342,176474440,128667036,306447,71,48,34,0.5853658536585366,0.9152063903035821,0.002179752183685663,Tax Payer
MIL,48-34,26.7,195746447,183221333,122031412,0,66,48,34,0.5853658536585366,0.8680073121461291,0.0,Tax Payer
MEM,48-34,24.6,167814933,155850296,95988718,8014853,76,48,34,0.5853658536585366,0.6827660824536945,0.057009510057757416,Non-Tax Payer
DET,44-38,25.0,141808220,133989678,56559037,7818542,51,44,38,0.5365853658536586,0.40230344695137565,0.055613153327453264,Non-Tax Payer
ORL,41-41,25.3,152959238,152959238,63257000,0,77,41,41,0.5,0.4499459413321194,0.0,Non-Tax Payer
ATL,40-42,25.3,174418704,161255749,81912604,7125652,58,40,42,0.4878048780487805,0.5826429282726833,0.050684638802742765,Tax Payer
SAC,40-42,27.4,171370782,166101303,107131940,1319695,67,40,42,0.4878048780487805,0.76202762682448,0.009386967593251203,Tax Payer
DAL,39-43,26.8,187147472,172077663,99092456,2328828,51,39,43,0.47560975609756095,0.7048429168919111,0.016564913079352435,Tax Payer
CHI,39-43,24.6,168006873,157180244,59395348,8739110,59,39,43,0.47560975609756095,0.4224780777875779,0.06216113750817993,Non-Tax Payer
MIA,37-45,26.6,179350729,173088172,90125126,0,74,37,45,0.45121951219512196,0.6410584544911372,0.0,Tax Payer
PHX,36-46,28.1,228464502,210557299,150588751,3814041,58,36,46,0.43902439024390244,1.0711351680086494,0.027129207329217288,Tax Payer
POR,36-46,23.9,176848446,165518581,89691087,1568032,82,36,46,0.43902439024390244,0.6379711426295274,0.011153384357128631,Tax Payer
SAS,34-48,25.2,162809380,155231927,83196166,7577453,60,34,48,0.4146341463414634,0.5917728824650752,0.05389829146157567,Non-Tax Payer
TOR,30-52,24.9,178496026,154302912,94310843,16405595,60,30,52,0.36585365853658536,0.6708313867470908,0.11669271203801178,Tax Payer
BKN,26-56,23.8,178836132,112077151,69311624,58408905,69,26,56,0.3170731707317073,0.4930123765897516,0.4154615258770308,Tax Payer
PHI,24-58,26.6,170340647,169548876,135768738,791771,38,24,58,0.2926829268292683,0.9657206731726747,0.005631853358750391,Non-Tax Payer
NOP,21-61,24.3,182966321,167934095,98876138,2715108,49,21,61,0.25609756097560976,0.7033042507184113,0.019312516004210887,Tax Payer
CHA,19-63,25.2,167423486,152436862,80445913,14986624,56,19,63,0.23170731707317074,0.5722103806868296,0.10659959598258742,Non-Tax Payer
WAS,18-64,24.5,211677970,162581956,83151786,7021331,51,18,64,0.21951219512195122,0.5914572082965829,0.04994260534327254,Tax Payer
UTA,17-65,23.9,154114022,142648013,86906400,11466009,64,17,65,0.2073170731707317,0.6181637124078869,0.08155752269041454,Non-Tax Payer
